Angulorad,Xm,Ym,dxm,dym,dangulorad,Mkg,mckg,deltaMkg,deltamckg,normalN,roceN,DnormalN,DroceN
0.102638059,1,0.103,0.0005,0.0005,0.000545711,0.0991,0.3886,0.00005,0.00005,3.788238305,0.581584303,6.05818E-05,0.001629147
0.102638059,1,0.103,0.0005,0.0005,0.000545711,0.2559,1.027,0.00005,0.00005,10.0116334,1.478128517,6.05818E-05,0.005028785
0.102638059,1,0.103,0.0005,0.0005,0.000545711,0.1914,0.7337,0.00005,0.00005,7.152420084,1.140182997,6.05818E-05,0.00346689
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.291,1.0352,0.00005,0.00005,10.03709383,1.377751644,0.000315642,0.005221103
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.395,1.3854,0.00005,0.00005,13.43256355,1.898348274,0.000315642,0.007129161
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.3951,1.3798,0.00005,0.00005,13.37826706,1.907319002,0.000315642,0.00709865
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.0922,0.3885,0.00005,0.00005,3.766818925,0.350194595,0.000315642,0.001697571
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.254,0.8809,0.00005,0.00005,8.541031637,1.234927195,0.000315642,0.004380403
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.0968,0.3324,0.00005,0.00005,3.222884455,0.475360552,0.000315642,0.001391912
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.2036,0.7335,0.00005,0.00005,7.11187048,0.950804259,0.000315642,0.003577297
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.0669,0.2878,0.00005,0.00005,2.790451703,0.245674032,0.000315642,0.001148909
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.1269,0.4292,0.00005,0.00005,4.16143805,0.632533391,0.000315642,0.001919324
0.145954679,1,0.147,0.0005,0.0005,0.000561369,0.2038,0.6909,0.00005,0.00005,6.698829331,1.013545264,0.000315642,0.003345192
